id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
5868728,2023-08-11T19:00:00,2023-08-11T12:00:00,0.664,2022-08-08T00:00:00,music_festival,2,0.831,Golden Gate Park,US,CA,0.69,4,7.0,3466.0,803.0,11866.0,927.0,concert,Outside Lands Music Festival,4,0.68,Kendrick Lamar,9,0.75,0
6091110,2023-08-11T19:30:00,2023-08-11T15:30:00,0.343,2023-07-17T00:00:00,family,1,0.675,Coliseo Roberto Clemente,Puerto Rico,,0.51,12,26.0,73.0,45.0,133.0,67.0,theater,Disney On Ice: Dream Big,5,0.41,None,0,0.0,0
5998701,2023-08-11T19:55:00,2023-08-11T12:55:00,0.488,2023-04-16T00:00:00,music_festival,1,0.687,Palm Springs Convention Center,US,CA,0.34,4,6.0,264.0,205.0,360.0,229.0,concert,Splash House,4,0.33,None,0,0.0,0
5922975,2023-08-11T20:05:00,2023-08-11T13:05:00,0.319,2023-01-24T00:00:00,minor_league_baseball,2,0.663,Scotiabank Field at Nat Bailey Stadium,Canada,BC,0.44,16,16.0,55.0,25.0,199.0,47.0,sports,Vancouver Canadians,16,0.33,Tri-City Dust Devils,22,0.29,0
5968656,2023-08-11T20:30:00,2023-08-11T16:30:00,0.65,2023-03-14T00:00:00,concert,7,0.822,Blossom Music Center,US,OH,0.79,22,516.0,232.0,33.0,1749.0,195.0,concert,Outlaw Music Festival,19,0.55,John Fogerty,7,0.52,0
5950184,2023-08-11T20:30:00,2023-08-11T13:30:00,0.371,2023-02-17T00:00:00,broadway_tickets_national,1,0.685,Angus Bowmer Theatre (Ashland),US,OR,0.52,79,1.0,118.0,117.0,120.0,118.0,theater,Rent,89,0.38,None,0,0.0,0
5881755,2023-08-11T20:59:00,2023-08-11T03:30:00,0.643,2022-11-28T00:00:00,concert,5,0.816,Olympic Stadium Montreal (Stade Olympique),Canada,QC,0.65,5,512.0,408.0,48.0,15008.0,249.0,concert,Metallica,34,0.76,Five Finger Death Punch,25,0.74,0
6087032,2023-08-11T21:00:00,2023-08-11T16:00:00,0.377,2023-07-11T00:00:00,concert,1,0.688,The Railyard,US,NE,0.32,1,2.0,175.0,112.0,344.0,118.0,concert,Dom Dolla,4,0.66,None,0,0.0,0
5989326,2023-08-11T21:00:00,2023-08-11T17:00:00,0.621,2023-04-05T00:00:00,concert,2,0.808,Cocoa Riverfront Park,US,FL,0.47,2,6.0,255.0,121.0,505.0,166.0,concert,Sublime With Rome,20,0.55,Dirty Heads,10,0.51,0
6070460,2023-08-11T21:00:00,2023-08-11T17:00:00,0.265,2023-06-25T00:00:00,concert,1,0.632,Batavia Downs Gaming,US,NY,0.33,1,1.0,68.0,66.0,69.0,68.0,concert,Mike DelGuidice & Big Shot,1,0.0,None,0,0.0,0
