id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6031831,2023-08-05T00:30:00,2023-08-04T20:30:00,0.209,2023-05-19T00:00:00,concert,1,0.601,9:30 Club,US,DC,0.68,77,13.0,57.0,42.0,87.0,52.0,concert,The Dolly Disco,1,0.21,None,0,0.0,0
5836811,2023-08-05T00:30:00,2023-08-04T19:30:00,0.348,2022-10-08T00:00:00,broadway_tickets_national,1,0.672,Metropolis Performing Arts Centre,US,IL,0.41,11,8.0,125.0,98.0,193.0,106.0,theater,Xanadu,11,0.32,None,0,0.0,0
6030288,2023-08-05T00:30:00,2023-08-04T19:30:00,0.325,2023-05-18T00:00:00,classical,1,0.651,The Pavilion at Ravinia,US,IL,0.7,33,2.0,65.0,39.0,94.0,39.0,theater,Chicago Symphony Orchestra,63,0.37,None,0,0.0,0
6002539,2023-08-05T00:30:00,2023-08-04T19:30:00,0.567,2023-04-19T00:00:00,rodeo,1,0.779,T-Mobile Center,US,MO,0.81,45,156.0,146.0,61.0,258.0,160.0,sports,PBR - Professional Bull Riders	,42,0.53,None,0,0.0,0
5720889,2023-08-05T00:30:00,2023-08-04T19:30:00,0.427,2022-06-06T00:00:00,broadway_tickets_national,1,0.716,Lied Center Lincoln,US,NE,0.57,49,4.0,227.0,124.0,481.0,223.0,theater,Hamilton,521,0.51,None,0,0.0,0
6072349,2023-08-05T01:00:00,2023-08-04T18:00:00,0.134,2023-06-26T00:00:00,broadway_tickets_national,1,0.551,Alexis Park All Suite Resort,US,NV,0.59,550,3.0,206.0,180.0,227.0,210.0,theater,All Shook Up,153,0.16,None,0,0.0,0
6017524,2023-08-05T01:00:00,2023-08-04T19:00:00,0.381,2023-05-08T00:00:00,concert,1,0.69,Snow Park Outdoor Amphitheater,US,UT,0.0,1,2.0,81.0,80.0,81.0,80.0,concert,Ben Folds,38,0.42,None,0,0.0,0
6061966,2023-08-05T01:00:00,2023-08-04T19:00:00,0.336,2023-06-19T00:00:00,theater,1,0.67,Central City Opera House,US,CO,0.33,5,5.0,187.0,171.0,202.0,194.0,theater,Othello,2,0.32,None,0,0.0,0
6024367,2023-08-05T01:00:00,2023-08-04T21:00:00,0.205,2023-05-18T00:00:00,concert,1,0.6,Racket NYC,US,NY,0.48,10,5.0,77.0,57.0,139.0,63.0,concert,French 79,9,0.48,None,0,0.0,0
6033287,2023-08-05T01:00:00,2023-08-04T20:00:00,0.33,2023-05-19T00:00:00,broadway_tickets_national,1,0.658,Marriott Theatre (Lincolnshire),US,IL,0.6,185,8.0,130.0,130.0,131.0,130.0,theater,The Buddy Holly Story,13,0.32,None,0,0.0,0
6015840,2023-08-05T01:00:00,2023-08-04T20:00:00,0.464,2023-05-05T00:00:00,concert,1,0.731,River Spirit Casino,US,OK,0.58,7,8.0,155.0,147.0,166.0,152.0,concert,John Fogerty,9,0.52,None,0,0.0,0
6083332,2023-08-05T01:00:00,2023-08-04T20:00:00,0.24,2023-07-06T00:00:00,concert,1,0.617,Exit/In,US,TN,0.43,8,1.0,48.0,48.0,49.0,48.0,concert,Kari Faux,24,0.29,None,0,0.0,0
5921227,2023-08-05T01:00:00,2023-08-04T18:00:00,0.251,2023-01-21T00:00:00,concert,1,0.622,172 at Rio Las Vegas,US,NV,0.5,109,3.0,151.0,86.0,198.0,171.0,concert,Hitzville,109,0.29,None,0,0.0,0
6091489,2023-08-05T01:00:00,2023-08-04T21:00:00,0.278,2023-07-17T00:00:00,concert,1,0.636,The Vogue,US,IN,0.48,32,1.0,37.0,38.0,38.0,37.0,concert,Buckcherry,29,0.38,None,0,0.0,0
5968399,2023-08-05T01:00:00,2023-08-04T19:00:00,0.295,2023-03-14T00:00:00,soccer,2,0.634,Spruce Meadows,Canada,AB,0.33,6,464.0,109.0,46.0,376.0,108.0,sports,Cavalry FC,10,0.3,Forge FC,8,0.36,0
5977760,2023-08-05T01:05:00,2023-08-04T19:05:00,0.248,2023-03-23T00:00:00,minor_league_baseball,2,0.582,Memorial Stadium Boise,US,ID,0.36,15,10.0,41.0,26.0,54.0,42.0,sports,Boise Hawks,27,0.26,Idaho Falls Chukars,23,0.29,0
6032704,2023-08-05T01:30:00,2023-08-04T19:30:00,0.389,2023-05-19T00:00:00,theater,1,0.697,Peery's Egyptian Theatre,US,UT,0.46,19,52.0,76.0,62.0,88.0,75.0,theater,The Music Man,18,0.56,None,0,0.0,0
6059658,2023-08-05T01:30:00,2023-08-04T21:30:00,0.276,2023-06-17T00:00:00,comedy,1,0.62,Hartford Funny Bone Comedy Club and Restaurant,US,CT,0.38,4,6.0,86.0,76.0,116.0,81.0,theater,Ali Siddiq,38,0.33,None,0,0.0,0
6059056,2023-08-05T01:30:00,2023-08-04T21:30:00,0.244,2023-05-18T00:00:00,concert,1,0.617,Jimmys Jazz and Blues Club,US,NH,0.48,71,52.0,105.0,36.0,298.0,92.0,concert,Blues Beatles,2,0.22,None,0,0.0,0
5867842,2023-08-05T01:30:00,2023-08-04T19:30:00,0.431,2022-11-10T00:00:00,cirque_du_soleil,1,0.714,Under The Big Top - BALL ARENA,US,CO,0.53,15,29.0,195.0,73.0,397.0,178.0,theater,Cirque du Soleil: Kooza,158,0.4,None,0,0.0,0
6063977,2023-08-05T01:30:00,2023-08-04T19:30:00,0.283,2023-06-20T00:00:00,theater,1,0.651,Burning Hills Amphitheatre,US,ND,0.42,10,22.0,128.0,119.0,162.0,129.0,theater,Medora Musical,10,0.35,None,0,0.0,0
5980077,2023-08-05T01:30:00,2023-08-04T19:30:00,0.132,2023-03-24T00:00:00,broadway_tickets_national,1,0.548,Tuacahn Amphitheatre and Center for the Arts,US,UT,0.56,130,10.0,176.0,138.0,209.0,183.0,theater,Beautiful: The Carole King Musical,167,0.37,None,0,0.0,0
5929897,2023-08-05T02:00:00,2023-08-04T20:00:00,0.42,2023-01-31T00:00:00,concert,1,0.708,Pikes Peak Center,US,CO,0.61,29,20.0,111.0,77.0,161.0,105.0,concert,Josh Turner,17,0.47,None,0,0.0,0
6091376,2023-08-05T02:00:00,2023-08-04T21:00:00,0.26,2023-07-17T00:00:00,concert,1,0.627,The Studio at Warehouse Live - Houston,US,TX,0.47,23,3.0,111.0,96.0,134.0,115.0,concert,Louie TheSinger,1,0.24,None,0,0.0,0
6035940,2023-08-05T02:00:00,2023-08-04T20:00:00,0.293,2023-05-25T00:00:00,concert,1,0.643,Cervantes' Other Side,US,CO,0.48,15,1.0,60.0,47.0,74.0,60.0,concert,Yung Pinch,4,0.33,None,0,0.0,0
6053934,2023-08-05T02:00:00,2023-08-04T19:00:00,0.327,2023-06-13T00:00:00,theater,1,0.662,The Dragon Room at Stratosphere Hotel and Casino,US,NV,0.58,150,3.0,192.0,169.0,225.0,181.0,theater,iLuminate,155,0.35,None,0,0.0,0
5752445,2023-08-05T02:00:00,2023-08-04T19:00:00,0.271,2022-07-17T00:00:00,theater,1,0.635,V Theater at Planet Hollywood Resort and Casino - Las Vegas,US,NV,0.59,542,2.0,196.0,179.0,213.0,179.0,theater,V - The Ultimate Variety Show,224,0.3,None,0,0.0,0
6041430,2023-08-05T02:30:00,2023-08-04T19:30:00,0.32,2023-05-31T00:00:00,comedy,1,0.658,Ontario Improv Comedy Club,US,CA,0.52,37,6.0,81.0,62.0,112.0,76.0,theater,DeRay Davis,10,0.49,None,0,0.0,0
5899402,2023-08-05T02:30:00,2023-08-04T19:30:00,0.366,2022-12-17T00:00:00,theater,1,0.684,Grand Canal Shoppes at the Venetian Las Vegas,US,NV,0.65,424,4.0,244.0,208.0,268.0,237.0,theater,Atomic Saloon Show,424,0.38,None,0,0.0,0
6028346,2023-08-05T02:30:00,2023-08-04T19:30:00,0.31,2023-05-18T00:00:00,classical_orchestral_instrumental,1,0.652,The Rady Shell at Jacobs Park,US,CA,0.67,25,16.0,132.0,96.0,220.0,123.0,theater,San Diego Symphony,6,0.26,None,0,0.0,0
6041429,2023-08-05T02:30:00,2023-08-04T19:30:00,0.251,2023-05-31T00:00:00,comedy,1,0.62,Irvine Improv,US,CA,0.56,107,1.0,63.0,62.0,64.0,63.0,theater,Heather McDonald,10,0.32,None,0,0.0,0
6079367,2023-08-05T02:30:00,2023-08-04T19:30:00,0.237,2023-06-30T00:00:00,concert,3,0.615,Yamhill County Fairgrounds,US,OR,0.4,9,1.0,81.0,81.0,81.0,81.0,concert,Walker County,3,0.53,Yamhill County Fair,9,0.31,0
6059734,2023-08-05T02:30:00,2023-08-04T19:30:00,0.289,2023-06-17T00:00:00,comedy,1,0.641,V Theater at Planet Hollywood Resort and Casino - Las Vegas,US,NV,0.59,542,2.0,206.0,188.0,223.0,188.0,theater,The Mentalist,130,0.32,None,0,0.0,0
5999710,2023-08-05T02:30:00,2023-08-04T19:30:00,0.237,2023-04-16T00:00:00,comedy,1,0.614,Cobb's Comedy Club,US,CA,0.54,54,3.0,70.0,56.0,83.0,70.0,theater,Becky Robinson,15,0.33,None,0,0.0,0
5987109,2023-08-05T02:45:00,2023-08-04T20:45:00,0.366,2023-04-03T00:00:00,broadway_tickets_national,1,0.678,Tuacahn Amphitheatre and Center for the Arts,US,UT,0.56,130,10.0,187.0,140.0,277.0,167.0,theater,The Hunchback of Notre Dame,30,0.35,None,0,0.0,0
6064264,2023-08-05T02:45:00,2023-08-04T21:45:00,0.306,2023-06-20T00:00:00,comedy,1,0.634,Stardome Comedy Club,US,AL,0.42,12,1.0,66.0,66.0,66.0,66.0,theater,Donnell Rawlings,13,0.41,None,0,0.0,0
