id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
5968650,2023-08-04T19:10:00,2023-08-04T15:10:00,0.521,2023-03-14T00:00:00,concert,8,0.748,Hersheypark Stadium,US,PA,0.77,8,754.0,178.0,16.0,2108.0,146.0,concert,Outlaw Music Festival,23,0.55,Kathleen Edwards,7,0.52,0
5987734,2023-08-04T21:00:00,2023-08-04T17:00:00,0.255,2023-04-03T00:00:00,concert,1,0.613,Batavia Downs Gaming,US,NY,0.34,2,2.0,33.0,32.0,34.0,33.0,concert,Don Felder,7,0.36,None,0,0.0,0
5882907,2023-08-04T21:00:00,2023-08-04T17:00:00,0.391,2022-11-29T00:00:00,theater,1,0.686,Astor Place Theatre,US,NY,0.66,372,42.0,236.0,98.0,661.0,214.0,theater,Blue Man Group,1444,0.39,None,0,0.0,0
6098996,2023-08-04T21:00:00,2023-08-04T17:00:00,0.373,2023-07-26T00:00:00,concert,4,0.672,The Ritz - Tampa,US,FL,0.54,18,2.0,114.0,104.0,124.0,106.0,concert,Underoath,14,0.44,We Came As Romans,1,0.46,0
5962451,2023-08-04T21:00:00,2023-08-04T17:00:00,0.569,2023-03-06T00:00:00,concert,4,0.771,Veterans United Home Loans Amphitheater at Virginia Beach,US,VA,0.77,14,526.0,159.0,37.0,852.0,156.0,concert,Slightly Stoopid,23,0.52,Atmosphere,27,0.49,0
5884117,2023-08-04T21:30:00,2023-08-04T14:30:00,0.31,2022-11-30T00:00:00,theater,1,0.645,V Theater at Planet Hollywood Resort and Casino - Las Vegas,US,NV,0.59,542,2.0,163.0,146.0,179.0,146.0,theater,Popovich Comedy Pet Theater,66,0.31,None,0,0.0,0
5949086,2023-08-04T21:30:00,2023-08-04T17:30:00,0.398,2023-02-16T00:00:00,cirque_du_soleil,1,0.69,Walt Disney World Resort,US,FL,0.63,222,10.0,364.0,253.0,505.0,354.0,theater,Cirque du Soleil Drawn to Life,216,0.39,None,0,0.0,0
6057656,2023-08-04T21:30:00,2023-08-04T17:30:00,0.713,2023-06-14T00:00:00,concert,1,0.843,Buffalo Outer Harbor,US,NY,0.56,3,17.0,194.0,129.0,407.0,176.0,concert,A Boogie Wit Da Hoodie,16,0.69,None,0,0.0,0
5928664,2023-08-04T21:30:00,2023-08-04T17:30:00,0.508,2023-01-30T00:00:00,concert,4,0.739,Skyline Stage at the Mann,US,PA,0.65,7,29.0,148.0,47.0,719.0,112.0,concert,Cavetown,4,0.5,Ricky Montgomery,4,0.47,0
5974553,2023-08-04T21:30:00,2023-08-04T17:30:00,0.558,2023-03-21T00:00:00,concert,1,0.765,Blossom Music Center,US,OH,0.79,26,737.0,167.0,35.0,712.0,156.0,concert,Mudvayne,18,0.49,None,0,0.0,0
5881752,2023-08-04T21:59:00,2023-08-04T03:30:00,0.822,2022-11-28T00:00:00,concert,5,0.898,MetLife Stadium,US,NJ,0.93,37,943.0,551.0,95.0,13865.0,318.0,concert,Metallica,37,0.76,Five Finger Death Punch,27,0.74,1
5936693,2023-08-04T22:00:00,2023-08-04T15:00:00,0.31,2023-02-07T00:00:00,comedy,1,0.643,Excalibur Hotel and Casino,US,NV,0.65,809,107.0,142.0,101.0,193.0,129.0,theater,Mac King Comedy Magic Show,119,0.33,None,0,0.0,0
6060863,2023-08-04T22:00:00,2023-08-04T18:00:00,0.279,2023-06-19T00:00:00,concert,1,0.62,The Wind Jammer,US,SC,0.44,5,5.0,93.0,90.0,106.0,92.0,concert,Moon Taxi,19,0.39,None,0,0.0,0
5841139,2023-08-04T22:00:00,2023-08-04T18:00:00,0.332,2022-10-12T00:00:00,minor_league_baseball,2,0.641,Peoples Natural Gas Field,US,PA,0.46,23,37.0,35.0,22.0,68.0,29.0,sports,Altoona Curve,41,0.31,Richmond Flying Squirrels,41,0.35,0
5999726,2023-08-04T22:00:00,2023-08-04T18:00:00,0.307,2023-04-16T00:00:00,family,1,0.64,Koka Booth Amphitheatre,US,NC,0.6,13,5.0,91.0,81.0,102.0,91.0,theater,"Beer, Bourbon & BBQ Festival - Cary, NC",3,0.23,None,0,0.0,0
6048724,2023-08-04T22:00:00,2023-08-04T18:00:00,0.201,2023-06-07T00:00:00,concert,1,0.579,Mercury Lounge,US,NY,0.56,56,3.0,123.0,115.0,150.0,111.0,concert,Seeing Double,1,0.23,None,0,0.0,0
5881783,2023-08-04T22:00:00,2023-08-04T18:00:00,0.826,2022-11-28T00:00:00,concert,3,0.9,MetLife Stadium,US,NJ,0.93,37,1096.0,428.0,94.0,8105.0,344.0,concert,Metallica,37,0.76,Pantera,50,0.73,0
5985386,2023-08-04T22:00:00,2023-08-04T18:00:00,0.306,2023-04-01T00:00:00,concert,2,0.635,Brighton Music Hall,US,MA,0.56,49,16.0,101.0,45.0,585.0,69.0,concert,Havok,7,0.3,Toxic Holocaust,3,0.3,0
6004602,2023-08-04T22:00:00,2023-08-04T17:00:00,0.388,2023-04-20T00:00:00,music_festival,1,0.672,Vetter Stone Amphitheater,US,MN,0.48,8,91.0,145.0,45.0,223.0,136.0,concert,Flo Rida,3,0.6,None,0,0.0,0
6051044,2023-08-04T22:00:00,2023-08-04T18:00:00,0.26,2023-06-08T00:00:00,concert,2,0.611,The Shelter - Detroit,US,MI,0.47,14,7.0,78.0,45.0,216.0,60.0,concert,Hail the Sun,13,0.28,Being As An Ocean,12,0.29,0
